User_ID,Age_Group,Gender,Location,Daily_Usage_Hours,Primary_App_Category,Screen_Time_Minutes,Data_Usage_GB_per_Month,Battery_Usage_Percentage,Addiction_Score_(1-10)
U1049,41-50,Other,Urban,4.6,Gaming,200,27.47,26,2
U1050,41-50,Female,Urban,4.23,Shopping,395,11.86,22,3
U1051,41-50,Male,Urban,2.47,Gaming,88,15.07,33,6
U1052,41-50,Female,Urban,5.05,Gaming,210,14.38,63,1
U1053,50+,Other,Semi-Urban,4.84,Streaming,48,13.13,65,2
U1054,31-40,Female,Semi-Urban,3.86,Social Media,255,15.94,80,10
U1055,15-20,Female,Urban,5.21,Productivity,502,10.76,55,2
U1056,41-50,Female,Rural,2.44,Gaming,124,8.69,32,1
U1057,21-30,Other,Urban,4.1,Productivity,326,4.37,35,3
U1058,41-50,Female,Rural,4.54,Productivity,622,10.29,99,10
U1059,21-30,Female,Urban,1.9,Streaming,204,16.51,24,7
U1060,21-30,Male,Rural,4.41,Gaming,251,7.3,57,1
U1061,41-50,Other,Urban,5.6,Shopping,644,13.23,69,7
U1062,50+,Female,Rural,4.05,Productivity,83,11.38,57,5
U1063,21-30,Other,Urban,4.45,Gaming,432,8.9,75,9
U1064,21-30,Female,Urban,5.34,Education,347,2.73,82,2
U1065,41-50,Female,Rural,3.92,Shopping,378,18.81,67,1
U1066,21-30,Female,Semi-Urban,4.05,Education,472,14.59,78,9
U1067,21-30,Male,Rural,2.73,Education,609,25.33,96,8
U1068,41-50,Male,Semi-Urban,4.48,Productivity,569,17.4,63,10
U1069,41-50,Male,Urban,4.0,Education,311,18.7,74,6
U1070,15-20,Other,Rural,5.25,Streaming,389,3.25,74,5
U1071,50+,Other,Rural,5.35,Streaming,660,3.17,20,8
U1072,50+,Male,Rural,5.69,Productivity,675,12.21,27,8
U1073,21-30,Other,Semi-Urban,3.74,Gaming,670,6.26,23,5
U1074,50+,Female,Semi-Urban,1.24,Social Media,37,8.59,72,7
U1075,21-30,Female,Urban,5.61,Gaming,592,24.63,77,1
U1076,15-20,Female,Semi-Urban,5.15,Gaming,520,17.95,56,4
U1077,41-50,Male,Semi-Urban,3.55,Gaming,370,7.32,68,2
U1078,41-50,Other,Urban,5.33,Gaming,501,1.0,86,10
U1079,41-50,Male,Rural,2.33,Shopping,716,6.9,38,3
U1080,50+,Other,Rural,6.05,Social Media,278,9.21,20,1
U1081,15-20,Female,Urban,4.0,Shopping,264,10.39,48,2
U1082,50+,Male,Rural,3.26,Education,112,5.6,52,1
U1083,50+,Other,Semi-Urban,3.57,Gaming,122,17.65,71,8
U1084,15-20,Other,Urban,4.15,Streaming,423,8.44,60,4
U1085,15-20,Female,Urban,4.48,Productivity,297,15.24,42,3
U1086,15-20,Male,Urban,4.57,Productivity,446,12.27,24,1
U1087,15-20,Male,Rural,3.86,Shopping,661,16.69,90,2
U1088,41-50,Male,Urban,4.8,Shopping,612,10.81,76,3
U1089,31-40,Female,Urban,4.51,Streaming,558,7.38,25,3
U1090,31-40,Male,Urban,3.53,Gaming,282,9.01,68,6
U1091,15-20,Female,Rural,3.3,Social Media,151,9.08,41,10
U1092,31-40,Female,Semi-Urban,5.41,Education,39,22.32,96,8
U1093,31-40,Female,Urban,5.29,Productivity,345,12.38,95,6
U1094,15-20,Other,Semi-Urban,4.59,Education,302,12.02,23,2
U1095,31-40,Male,Rural,5.89,Social Media,335,16.41,91,2
U1096,50+,Male,Rural,1.56,Shopping,239,12.0,83,7
U1097,21-30,Female,Rural,3.65,Productivity,493,17.61,56,1
U1098,21-30,Female,Rural,2.77,Education,445,10.14,50,1
U1099,15-20,Male,Semi-Urban,7.88,Shopping,245,9.63,56,7
U1100,41-50,Female,Urban,5.57,Social Media,109,7.1,64,9
U1101,15-20,Male,Rural,4.38,Education,509,21.25,27,5
U1102,41-50,Other,Rural,5.68,Gaming,576,11.65,59,1
U1103,21-30,Female,Semi-Urban,6.17,Shopping,47,6.13,24,5
U1104,15-20,Male,Semi-Urban,6.16,Social Media,194,12.98,47,1
U1105,50+,Female,Rural,5.88,Education,554,8.75,28,10
U1106,31-40,Male,Urban,4.11,Gaming,231,10.05,21,9
U1107,41-50,Male,Urban,3.75,Gaming,375,13.55,82,4
U1108,31-40,Female,Rural,3.06,Social Media,395,19.6,70,9
U1109,31-40,Other,Semi-Urban,5.25,Streaming,477,12.51,50,2
U1110,15-20,Male,Rural,4.26,Productivity,542,8.44,26,7
U1111,31-40,Male,Rural,3.87,Social Media,348,9.48,49,2
U1112,50+,Male,Semi-Urban,3.79,Gaming,246,15.28,77,4
U1113,31-40,Other,Rural,6.68,Gaming,63,2.21,22,6
U1114,15-20,Other,Rural,5.93,Social Media,295,6.79,70,2
U1115,50+,Female,Rural,7.25,Streaming,669,13.06,75,2
U1116,21-30,Other,Semi-Urban,5.29,Productivity,109,3.47,92,2
U1117,31-40,Female,Urban,4.59,Education,706,10.44,29,3
U1118,15-20,Female,Urban,4.46,Social Media,442,9.61,80,5
U1119,21-30,Other,Semi-Urban,2.97,Productivity,281,16.39,69,9
U1120,21-30,Female,Urban,2.61,Productivity,41,10.75,66,6
U1121,41-50,Other,Rural,5.26,Shopping,430,17.93,20,9
U1122,50+,Female,Urban,3.1,Gaming,311,12.39,76,10
U1123,31-40,Other,Rural,4.82,Education,141,20.88,57,5
U1124,15-20,Other,Urban,6.17,Social Media,407,5.06,81,6
U1125,41-50,Female,Semi-Urban,3.5,Gaming,297,20.09,98,10
U1126,50+,Male,Urban,7.52,Shopping,327,9.94,89,8
U1127,41-50,Female,Urban,3.01,Shopping,346,19.37,84,3
U1128,50+,Other,Urban,5.99,Gaming,599,17.93,81,2
U1129,50+,Male,Semi-Urban,5.14,Streaming,538,1.0,75,3
U1130,31-40,Female,Urban,6.29,Productivity,575,14.4,86,9
U1131,50+,Female,Semi-Urban,2.83,Social Media,394,16.99,36,6
U1132,41-50,Female,Rural,7.96,Social Media,576,18.64,27,10
U1133,50+,Male,Urban,4.23,Social Media,300,6.12,79,4
U1134,31-40,Other,Semi-Urban,5.51,Gaming,503,14.95,59,10
U1135,31-40,Female,Semi-Urban,6.67,Streaming,566,12.98,81,3
U1136,41-50,Female,Urban,3.59,Education,263,14.16,60,2
U1137,21-30,Female,Rural,5.74,Shopping,88,16.99,31,4
U1138,21-30,Female,Semi-Urban,3.34,Gaming,280,17.78,73,9
U1139,50+,Female,Urban,6.6,Education,115,8.72,30,4
U1140,15-20,Other,Rural,3.36,Shopping,419,13.33,79,5
U1141,50+,Other,Semi-Urban,4.56,Shopping,209,12.21,87,8
U1142,41-50,Female,Semi-Urban,4.96,Streaming,178,10.8,97,2
U1143,41-50,Male,Rural,5.68,Productivity,612,11.28,65,3
U1144,41-50,Other,Rural,7.45,Social Media,150,12.98,57,6
U1145,41-50,Male,Urban,3.82,Education,634,8.99,80,7
U1146,41-50,Other,Urban,6.21,Gaming,285,16.42,36,4
U1147,31-40,Female,Semi-Urban,7.46,Education,338,18.35,85,1
U1148,21-30,Other,Rural,4.75,Productivity,88,7.9,91,7
U1149,41-50,Female,Rural,3.67,Social Media,98,18.59,55,9
U1150,15-20,Other,Rural,1.9,Education,475,7.91,93,1
U1151,15-20,Female,Semi-Urban,7.32,Productivity,417,16.49,26,1
U1152,15-20,Female,Rural,4.13,Gaming,115,18.58,35,1
U1153,15-20,Female,Rural,3.0,Streaming,256,11.53,33,10
U1154,31-40,Female,Semi-Urban,2.46,Shopping,622,7.95,99,7
U1155,15-20,Male,Urban,3.0,Gaming,655,9.06,44,9
U1156,41-50,Female,Urban,5.88,Social Media,213,13.81,23,3
U1157,50+,Male,Semi-Urban,6.09,Shopping,351,21.82,48,8
U1158,15-20,Male,Rural,5.48,Gaming,347,3.54,75,9
U1159,31-40,Female,Semi-Urban,4.7,Gaming,595,12.5,25,3
U1160,31-40,Male,Urban,2.63,Gaming,428,11.56,20,3
U1161,15-20,Other,Urban,3.41,Gaming,322,9.72,58,1
U1162,50+,Female,Semi-Urban,2.84,Shopping,322,11.6,20,2
U1163,15-20,Male,Semi-Urban,5.36,Social Media,514,9.29,82,7
U1164,31-40,Female,Urban,2.91,Productivity,476,18.22,76,3
U1165,21-30,Female,Semi-Urban,3.43,Education,441,18.71,86,7
U1166,41-50,Female,Urban,4.22,Streaming,537,12.44,84,5
U1167,31-40,Male,Semi-Urban,2.0,Education,273,11.29,84,10
U1168,15-20,Other,Semi-Urban,4.57,Education,449,9.53,40,8
U1169,41-50,Other,Semi-Urban,4.34,Streaming,183,12.45,49,5
U1170,15-20,Male,Urban,6.28,Shopping,453,21.24,52,3
U1171,15-20,Female,Semi-Urban,3.27,Social Media,302,11.48,67,9
U1172,21-30,Male,Urban,2.55,Streaming,676,7.8,41,7
U1173,41-50,Male,Urban,3.94,Social Media,549,10.01,73,5
U1174,41-50,Male,Semi-Urban,2.85,Shopping,157,15.77,23,7
U1175,21-30,Female,Semi-Urban,4.56,Education,402,8.41,74,10
U1176,31-40,Male,Urban,1.71,Social Media,597,11.83,63,9
U1177,15-20,Female,Urban,3.59,Shopping,667,14.36,31,5
U1178,50+,Male,Rural,3.11,Shopping,188,8.79,98,7
U1179,15-20,Other,Urban,5.35,Productivity,600,3.18,93,9
U1180,15-20,Male,Rural,3.28,Streaming,599,6.64,71,1
U1181,31-40,Male,Rural,1.9,Productivity,681,7.71,95,4
U1182,15-20,Other,Rural,4.2,Education,205,10.86,84,1
U1183,21-30,Female,Semi-Urban,4.98,Streaming,649,12.22,84,8
U1184,21-30,Female,Semi-Urban,4.09,Education,240,16.12,29,3
U1185,41-50,Male,Urban,3.58,Productivity,476,5.86,37,2
U1186,50+,Other,Rural,3.49,Shopping,615,15.39,66,4
U1187,15-20,Female,Semi-Urban,4.67,Education,196,10.15,85,3
U1188,15-20,Male,Semi-Urban,3.17,Streaming,489,3.07,68,5
U1189,31-40,Other,Semi-Urban,4.01,Streaming,386,12.07,91,8
U1190,21-30,Female,Semi-Urban,5.63,Education,333,18.58,41,10
U1191,50+,Female,Semi-Urban,2.55,Streaming,262,16.42,45,8
U1192,41-50,Other,Rural,4.43,Shopping,356,11.62,28,7
U1193,21-30,Other,Rural,1.82,Shopping,211,17.63,40,8
U1194,41-50,Other,Rural,4.84,Streaming,663,12.96,82,5
U1195,31-40,Other,Rural,3.03,Education,363,16.91,25,10
U1196,31-40,Male,Urban,6.03,Productivity,58,3.69,33,10
U1197,15-20,Other,Rural,2.28,Streaming,122,5.75,52,6
U1198,50+,Female,Semi-Urban,5.16,Streaming,717,15.65,90,8
U1199,41-50,Female,Rural,6.33,Streaming,359,19.7,43,1
U1200,21-30,Male,Urban,2.95,Streaming,213,14.09,92,6
U1201,31-40,Female,Semi-Urban,3.21,Education,124,9.51,94,6
U1202,15-20,Female,Rural,3.08,Productivity,678,7.75,70,5
U1203,15-20,Other,Rural,3.77,Productivity,382,10.42,21,4
U1204,41-50,Female,Rural,5.28,Social Media,294,18.07,34,1
U1205,31-40,Male,Semi-Urban,3.65,Streaming,676,10.29,54,10
U1206,50+,Other,Semi-Urban,2.82,Streaming,685,17.24,55,8
U1207,31-40,Other,Urban,1.47,Social Media,48,15.26,58,6
U1208,41-50,Male,Semi-Urban,6.9,Productivity,675,20.57,23,3
U1209,41-50,Other,Semi-Urban,7.02,Gaming,655,13.0,83,3
U1210,31-40,Other,Rural,5.34,Shopping,528,11.75,93,6
U1211,41-50,Male,Semi-Urban,3.28,Gaming,168,17.49,25,7
U1212,31-40,Other,Rural,5.62,Productivity,666,7.32,76,8
U1213,21-30,Male,Rural,5.92,Streaming,602,9.78,49,5
U1214,31-40,Male,Semi-Urban,4.12,Gaming,554,3.6,93,10
U1215,31-40,Female,Urban,4.56,Education,284,5.73,86,6
U1216,41-50,Female,Urban,6.35,Education,114,21.62,34,1
U1217,41-50,Other,Semi-Urban,2.04,Social Media,487,15.46,36,6
U1218,15-20,Other,Urban,6.0,Productivity,561,5.15,37,9
U1219,15-20,Male,Rural,4.04,Productivity,591,17.97,38,10
U1220,21-30,Other,Rural,2.83,Gaming,705,8.48,95,4
U1221,15-20,Male,Semi-Urban,2.95,Streaming,121,15.2,88,10
U1222,31-40,Male,Urban,3.2,Productivity,629,15.13,43,1
U1223,41-50,Other,Urban,2.68,Gaming,98,20.32,67,9
U1224,15-20,Male,Rural,7.16,Gaming,66,9.31,49,4
U1225,15-20,Female,Semi-Urban,5.24,Shopping,169,8.3,34,2
U1226,21-30,Other,Urban,6.1,Shopping,709,1.0,66,1
U1227,21-30,Female,Semi-Urban,5.34,Productivity,595,11.39,63,3
U1228,31-40,Other,Urban,4.59,Gaming,207,15.63,46,7
U1229,41-50,Male,Rural,4.61,Social Media,647,16.31,83,10
U1230,21-30,Other,Rural,3.9,Social Media,166,18.26,60,2
U1231,15-20,Female,Semi-Urban,4.03,Shopping,219,13.45,87,9
U1232,41-50,Male,Rural,2.39,Productivity,669,14.52,24,2
U1233,41-50,Other,Urban,6.12,Streaming,371,12.34,72,5
U1234,15-20,Other,Rural,1.78,Social Media,588,15.54,27,8
U1235,21-30,Other,Semi-Urban,2.91,Social Media,34,7.33,41,10
U1236,15-20,Female,Semi-Urban,7.52,Shopping,286,4.96,26,8
U1237,41-50,Female,Semi-Urban,4.7,Shopping,691,7.86,41,3
U1238,50+,Other,Urban,4.77,Productivity,272,13.07,65,2
U1239,50+,Male,Urban,5.46,Shopping,444,5.5,49,9
U1240,31-40,Male,Urban,2.19,Education,656,8.83,35,3
U1241,15-20,Female,Urban,2.41,Gaming,372,8.99,98,8
U1242,15-20,Male,Urban,3.83,Social Media,711,15.91,24,2
U1243,31-40,Female,Rural,3.14,Education,408,15.3,86,3
U1244,31-40,Other,Urban,4.39,Streaming,623,12.35,42,1
U1245,31-40,Female,Urban,5.23,Education,695,14.26,80,6
U1246,41-50,Female,Rural,6.58,Productivity,682,14.35,93,7
U1247,15-20,Other,Urban,5.72,Streaming,175,10.18,24,4
U1248,41-50,Male,Semi-Urban,3.01,Streaming,352,9.29,42,1
U1249,31-40,Female,Urban,3.94,Shopping,151,19.68,98,3
U1250,15-20,Female,Urban,3.53,Education,281,1.0,44,9
U1251,41-50,Other,Semi-Urban,2.98,Productivity,340,8.29,27,5
U1252,41-50,Male,Semi-Urban,2.63,Social Media,630,10.98,40,6
U1253,31-40,Female,Semi-Urban,7.0,Shopping,504,14.8,21,4
U1254,15-20,Other,Semi-Urban,4.52,Education,599,17.68,41,1
U1255,31-40,Female,Urban,4.16,Social Media,521,21.28,91,5
U1256,15-20,Other,Semi-Urban,5.23,Education,604,11.54,91,5
U1257,50+,Male,Semi-Urban,5.3,Shopping,376,11.88,87,5
U1258,21-30,Male,Rural,6.18,Social Media,516,13.81,83,6
U1259,21-30,Male,Semi-Urban,3.38,Shopping,502,9.34,38,2
U1260,21-30,Male,Semi-Urban,5.1,Education,411,6.08,72,1
U1261,31-40,Female,Rural,3.13,Streaming,309,11.52,71,2
U1262,50+,Female,Rural,4.21,Gaming,101,15.73,66,10
U1263,15-20,Male,Urban,4.59,Streaming,550,10.79,73,6
U1264,41-50,Male,Rural,4.73,Shopping,395,14.07,63,5
U1265,15-20,Male,Urban,4.67,Shopping,123,2.66,26,5
U1266,41-50,Female,Rural,5.7,Shopping,402,12.09,20,6
U1267,15-20,Male,Rural,3.6,Social Media,368,9.98,82,10
U1268,50+,Male,Urban,4.77,Productivity,466,5.62,58,7
U1269,41-50,Male,Rural,3.36,Shopping,365,15.29,38,9
U1270,31-40,Other,Urban,8.88,Streaming,693,21.23,50,7
U1271,15-20,Male,Rural,3.13,Gaming,521,16.95,96,2
U1272,15-20,Other,Semi-Urban,3.45,Shopping,69,17.27,43,6
U1273,41-50,Other,Rural,5.82,Shopping,388,15.56,88,9
U1274,31-40,Male,Urban,3.86,Shopping,603,15.23,84,7
U1275,31-40,Other,Rural,5.82,Social Media,283,3.0,52,2
U1276,50+,Male,Urban,4.73,Shopping,610,11.36,78,3
U1277,31-40,Female,Urban,3.9,Streaming,427,14.54,52,8
U1278,31-40,Female,Semi-Urban,3.37,Education,199,14.66,51,9
U1279,31-40,Female,Semi-Urban,3.32,Productivity,719,18.36,78,4
U1280,21-30,Female,Urban,3.91,Shopping,540,6.84,60,9
U1281,50+,Other,Rural,4.24,Social Media,289,15.04,31,2
U1282,15-20,Male,Urban,3.25,Streaming,613,6.67,92,5
U1283,41-50,Male,Urban,4.34,Shopping,488,10.94,30,2
U1284,15-20,Male,Rural,2.86,Social Media,558,11.69,38,1
U1285,50+,Female,Rural,5.63,Education,370,16.31,73,5
U1286,41-50,Female,Rural,5.92,Gaming,86,15.72,76,2
U1287,50+,Male,Rural,3.44,Shopping,247,12.6,61,7
U1288,31-40,Female,Urban,3.36,Streaming,648,1.24,90,8
U1289,41-50,Male,Urban,4.77,Social Media,714,14.22,50,2
U1290,31-40,Male,Semi-Urban,6.4,Social Media,493,10.66,71,7
U1291,15-20,Male,Urban,6.73,Shopping,276,18.96,21,4
U1292,15-20,Male,Rural,2.4,Social Media,402,17.77,57,1
U1293,41-50,Male,Semi-Urban,6.01,Gaming,446,7.31,51,3
U1294,41-50,Male,Rural,4.41,Social Media,60,14.91,29,1
U1295,50+,Male,Urban,4.44,Productivity,397,15.01,27,5
U1296,50+,Female,Semi-Urban,5.26,Productivity,588,14.65,94,8
U1297,31-40,Male,Rural,3.78,Social Media,675,14.0,39,1
U1298,41-50,Male,Semi-Urban,6.15,Shopping,137,15.15,39,9
U1299,15-20,Female,Semi-Urban,6.64,Productivity,613,19.51,28,3
U1300,50+,Female,Urban,6.69,Streaming,447,9.24,91,5
U1301,50+,Female,Rural,1.73,Productivity,649,7.47,34,9
U1302,15-20,Male,Semi-Urban,4.16,Social Media,427,15.91,82,5
U1303,50+,Other,Semi-Urban,1.6,Shopping,301,2.58,40,9
U1304,31-40,Other,Rural,3.35,Education,712,15.27,24,10
U1305,41-50,Female,Semi-Urban,0.9,Shopping,145,14.38,54,8
U1306,15-20,Other,Semi-Urban,5.18,Shopping,615,1.0,87,7
U1307,41-50,Female,Semi-Urban,4.83,Shopping,285,8.82,67,1
U1308,50+,Male,Rural,3.85,Streaming,110,19.88,99,4
U1309,50+,Other,Rural,3.31,Gaming,157,4.71,81,9
U1310,15-20,Male,Rural,4.97,Social Media,264,13.06,54,10
U1311,31-40,Other,Rural,2.98,Gaming,582,6.98,89,8
U1312,21-30,Male,Urban,2.88,Education,210,8.46,40,4
U1313,15-20,Other,Semi-Urban,2.7,Gaming,186,21.58,99,1
U1314,21-30,Male,Rural,4.19,Social Media,483,12.62,58,10
U1315,21-30,Male,Semi-Urban,3.63,Social Media,600,14.58,53,4
U1316,31-40,Other,Semi-Urban,3.92,Education,53,11.44,34,3
U1317,21-30,Male,Urban,5.28,Social Media,502,4.42,25,6
U1318,21-30,Male,Rural,5.94,Education,429,6.08,85,5
U1319,31-40,Male,Rural,6.68,Education,621,17.89,75,5
U1320,21-30,Other,Semi-Urban,4.59,Social Media,163,12.76,68,2
U1321,21-30,Other,Rural,5.02,Productivity,450,8.15,20,3
U1322,21-30,Male,Semi-Urban,4.78,Education,242,11.89,84,6
U1323,15-20,Male,Semi-Urban,1.99,Social Media,511,15.31,47,2
U1324,15-20,Other,Urban,3.95,Productivity,377,14.27,39,4
U1325,15-20,Other,Urban,3.95,Education,195,8.15,67,2
U1326,31-40,Male,Urban,3.73,Productivity,377,4.12,91,9
U1327,50+,Male,Semi-Urban,4.44,Streaming,427,9.96,84,3
U1328,21-30,Male,Rural,4.17,Shopping,612,17.55,70,10
U1329,21-30,Female,Urban,3.02,Streaming,464,16.27,62,10
U1330,31-40,Other,Rural,4.27,Productivity,606,14.05,68,6
U1331,21-30,Female,Urban,3.54,Education,250,11.15,44,1
U1332,15-20,Other,Urban,0.57,Social Media,337,9.42,93,10
U1333,50+,Other,Semi-Urban,2.4,Gaming,495,11.24,95,3
U1334,41-50,Other,Urban,4.63,Social Media,128,15.91,60,8
U1335,21-30,Other,Urban,6.14,Gaming,271,17.05,90,5
U1336,15-20,Other,Semi-Urban,0.86,Gaming,187,10.69,83,8
U1337,41-50,Other,Rural,3.19,Education,639,24.68,80,2
U1338,50+,Other,Urban,5.15,Productivity,583,12.46,31,7
U1339,41-50,Female,Semi-Urban,5.82,Social Media,680,10.27,88,9
U1340,15-20,Male,Urban,3.87,Productivity,256,19.38,33,7
U1341,41-50,Male,Semi-Urban,3.48,Streaming,452,1.81,53,3
U1342,31-40,Female,Rural,6.33,Education,101,14.4,67,7
U1343,41-50,Female,Rural,5.69,Education,272,11.64,80,8
U1344,21-30,Female,Semi-Urban,5.79,Streaming,559,19.24,54,1
U1345,21-30,Female,Semi-Urban,3.8,Social Media,618,15.02,84,3
U1346,31-40,Other,Semi-Urban,6.17,Shopping,74,12.7,78,5
U1347,15-20,Male,Rural,1.58,Streaming,501,15.31,55,6
U1348,21-30,Other,Urban,6.2,Social Media,400,6.72,98,3
U1349,50+,Male,Rural,4.4,Gaming,681,16.83,38,4
U1350,21-30,Male,Semi-Urban,4.69,Education,718,5.28,61,5
U1351,21-30,Female,Semi-Urban,3.08,Social Media,121,13.79,88,3
U1352,15-20,Other,Rural,1.78,Productivity,51,12.18,38,4
U1353,41-50,Female,Semi-Urban,4.66,Productivity,201,3.18,58,5
U1354,21-30,Other,Rural,5.33,Education,633,12.34,88,2
U1355,31-40,Male,Semi-Urban,5.55,Streaming,221,13.41,71,10
U1356,41-50,Female,Urban,5.39,Shopping,106,8.73,31,9
U1357,50+,Female,Urban,5.05,Streaming,310,6.94,66,10
U1358,15-20,Male,Semi-Urban,3.11,Social Media,393,14.46,95,8
U1359,50+,Male,Rural,5.65,Streaming,208,13.81,55,6
U1360,41-50,Male,Urban,2.95,Education,267,13.13,82,10
U1361,41-50,Female,Rural,6.16,Social Media,164,12.04,95,3
U1362,41-50,Other,Semi-Urban,4.37,Gaming,309,9.17,70,2
U1363,50+,Female,Rural,4.42,Streaming,48,23.36,62,7
U1364,41-50,Other,Urban,5.8,Streaming,624,10.51,53,8
U1365,50+,Female,Rural,6.0,Shopping,400,7.67,68,10
U1366,41-50,Female,Rural,5.66,Social Media,141,12.27,37,1
U1367,31-40,Male,Semi-Urban,3.27,Productivity,705,11.1,80,6
U1368,41-50,Other,Semi-Urban,5.64,Streaming,709,10.39,76,7
U1369,50+,Female,Semi-Urban,3.28,Education,250,21.37,24,9
U1370,21-30,Female,Urban,5.68,Streaming,333,6.35,43,3
U1371,41-50,Male,Urban,2.36,Shopping,354,12.19,83,2
U1372,21-30,Male,Semi-Urban,4.36,Gaming,466,6.69,78,5
U1373,31-40,Other,Semi-Urban,3.27,Shopping,467,9.29,57,10
U1374,15-20,Female,Urban,5.8,Streaming,199,20.68,52,1
U1375,31-40,Other,Urban,6.17,Productivity,404,13.41,29,6
U1376,41-50,Female,Urban,4.8,Streaming,586,13.35,56,9
U1377,21-30,Other,Urban,4.75,Social Media,410,7.3,30,10
U1378,21-30,Male,Semi-Urban,5.56,Streaming,43,9.88,43,9
U1379,50+,Female,Urban,6.18,Productivity,698,21.12,90,7
U1380,21-30,Other,Semi-Urban,4.56,Social Media,529,14.5,40,7
U1381,50+,Male,Rural,3.75,Education,675,10.3,39,8
U1382,15-20,Male,Rural,5.47,Social Media,420,14.2,29,10
U1383,41-50,Other,Urban,1.71,Shopping,578,13.34,66,2
U1384,50+,Female,Rural,5.86,Gaming,594,7.8,66,6
U1385,15-20,Female,Rural,3.43,Shopping,559,10.16,34,5
U1386,21-30,Male,Rural,4.14,Social Media,521,23.27,63,5
U1387,21-30,Female,Urban,5.87,Education,579,13.96,81,3
U1388,15-20,Female,Urban,3.88,Streaming,414,4.15,25,3
U1389,21-30,Female,Rural,5.47,Social Media,225,14.55,85,6
U1390,15-20,Male,Semi-Urban,6.21,Shopping,329,18.52,95,10
U1391,50+,Other,Rural,4.67,Social Media,576,7.48,23,10
U1392,50+,Female,Urban,4.97,Social Media,631,9.72,42,7
U1393,15-20,Male,Urban,4.32,Social Media,337,19.27,32,1
U1394,50+,Male,Urban,4.67,Education,281,12.17,50,3
U1395,50+,Other,Rural,2.83,Productivity,37,11.29,35,1
U1396,50+,Female,Semi-Urban,4.06,Productivity,237,5.32,60,10
