student_id,roll_number,department,program,specialization,gender,age,domicile_state,category,study_hours_per_day,attendance_percentage,sgpa,percentage,teaching_method,learning_style
33,ROLL0033,CSE,BCA,AI,Male,21,Punjab,ST,2.4,80.33,8.78,55.12,Online,Visual
34,ROLL0034,BCA,B.Tech,Cloud,Female,24,Haryana,OBC,1.1,80.48,6.91,57.59,Traditional,Kinesthetic
35,ROLL0035,MCA,B.Tech,Software Engg,Female,24,UP,General,2.6,87.64,7.55,53.88,Hybrid,Auditory
36,ROLL0036,MCA,BCA,Cloud,Female,26,Bihar,General,5.9,87.83,6.91,66.09,Hybrid,Kinesthetic
37,ROLL0037,CSE,B.Tech,Data Science,Female,24,Delhi,ST,5.6,70.43,9.99,67.11,Online,Kinesthetic
38,ROLL0038,ECE,MCA,Cyber Security,Female,20,Delhi,General,4.1,73.97,8.9,64.81,Traditional,Auditory
39,ROLL0039,IT,BCA,Cyber Security,Female,20,Haryana,ST,8.7,76.18,9.55,79.37,Online,Visual
40,ROLL0040,IT,B.Tech,Software Engg,Female,19,Punjab,ST,4.4,97.61,9.89,68.71,Traditional,Visual
41,ROLL0041,ECE,MCA,Data Science,Female,18,UP,SC,2.4,81.95,8.77,51.24,Hybrid,Visual
42,ROLL0042,CSE,MCA,Cloud,Male,25,Delhi,ST,1.2,79.76,6.72,56.88,Traditional,Auditory
43,ROLL0043,CSE,BCA,Software Engg,Male,20,Haryana,General,6.8,93.97,8.63,66.06,Hybrid,Auditory
44,ROLL0044,IT,B.Tech,AI,Female,23,Delhi,ST,6.7,70.02,8.36,70.83,Hybrid,Visual
45,ROLL0045,ECE,MCA,Data Science,Female,18,Delhi,General,4.5,95.68,8.52,63.57,Online,Auditory
46,ROLL0046,ECE,MCA,Software Engg,Female,20,Delhi,SC,2.8,88.9,7.12,65.67,Hybrid,Visual
47,ROLL0047,MCA,BCA,AI,Male,23,Delhi,ST,7.9,61.74,9.98,64.78,Online,Visual
48,ROLL0048,ECE,MCA,Software Engg,Male,18,Bihar,SC,4.3,60.62,9.71,61.68,Hybrid,Kinesthetic
49,ROLL0049,ECE,B.Tech,Cloud,Female,24,Punjab,General,6.0,82.89,9.92,66.91,Traditional,Kinesthetic
50,ROLL0050,IT,MCA,Software Engg,Male,23,Bihar,SC,3.4,79.41,7.49,57.82,Traditional,Kinesthetic
51,ROLL0051,IT,B.Tech,Data Science,Female,19,Haryana,General,7.3,82.8,6.39,72.19,Traditional,Kinesthetic
52,ROLL0052,BCA,MCA,Data Science,Female,23,Haryana,SC,3.9,93.95,6.55,55.99,Traditional,Visual
53,ROLL0053,ECE,MCA,Cloud,Female,24,UP,General,4.2,71.74,9.24,64.12,Traditional,Kinesthetic
54,ROLL0054,CSE,MCA,Cloud,Female,20,Haryana,OBC,5.5,91.93,8.6,67.79,Online,Kinesthetic
55,ROLL0055,BCA,BCA,Software Engg,Male,26,Bihar,SC,4.0,75.02,6.38,59.57,Traditional,Auditory
56,ROLL0056,MCA,MCA,Software Engg,Male,23,UP,General,2.4,99.27,9.36,57.61,Hybrid,Auditory
57,ROLL0057,MCA,MCA,Software Engg,Male,25,Delhi,General,3.3,61.55,7.21,49.94,Online,Auditory
58,ROLL0058,IT,MCA,Data Science,Male,21,Haryana,SC,7.9,68.63,8.49,75.83,Online,Auditory
59,ROLL0059,IT,MCA,Cyber Security,Female,19,Bihar,SC,8.6,67.78,7.65,71.97,Online,Kinesthetic
60,ROLL0060,CSE,BCA,Data Science,Male,20,Delhi,SC,5.6,72.92,9.18,68.91,Hybrid,Visual
61,ROLL0061,IT,MCA,Cloud,Male,18,Punjab,General,5.0,63.14,6.1,61.14,Hybrid,Visual
62,ROLL0062,ECE,B.Tech,Data Science,Female,26,Delhi,ST,5.0,69.59,6.38,73.31,Online,Visual
63,ROLL0063,BCA,B.Tech,Data Science,Male,23,Punjab,ST,6.9,71.2,9.82,72.59,Hybrid,Auditory
64,ROLL0064,CSE,BCA,AI,Female,20,Punjab,OBC,7.6,61.91,8.26,81.06,Online,Auditory
65,ROLL0065,MCA,MCA,Cyber Security,Female,22,Haryana,General,7.8,60.58,6.46,75.62,Traditional,Kinesthetic
66,ROLL0066,BCA,BCA,Cloud,Male,24,Delhi,ST,5.3,66.93,7.74,69.77,Hybrid,Visual
67,ROLL0067,ECE,B.Tech,Cloud,Male,25,Punjab,General,1.4,97.97,9.55,54.21,Hybrid,Visual
68,ROLL0068,ECE,BCA,Data Science,Male,24,Delhi,OBC,6.9,66.52,6.28,74.48,Hybrid,Visual
69,ROLL0069,BCA,B.Tech,AI,Male,20,Bihar,General,9.5,94.69,8.55,81.54,Online,Auditory
70,ROLL0070,CSE,MCA,Data Science,Male,22,UP,General,6.8,78.33,8.18,75.56,Hybrid,Kinesthetic
71,ROLL0071,IT,B.Tech,AI,Female,19,Punjab,OBC,6.6,92.82,8.61,66.46,Traditional,Kinesthetic
72,ROLL0072,ECE,BCA,AI,Female,25,Delhi,OBC,1.4,84.73,7.35,49.86,Traditional,Kinesthetic
73,ROLL0073,BCA,B.Tech,Data Science,Female,22,Delhi,SC,4.5,87.26,7.36,63.36,Online,Visual
74,ROLL0074,IT,BCA,AI,Female,26,Delhi,ST,4.1,97.47,6.16,53.72,Hybrid,Visual
75,ROLL0075,ECE,BCA,Data Science,Female,18,Delhi,SC,8.2,71.28,6.71,78.34,Traditional,Visual
76,ROLL0076,IT,MCA,Cyber Security,Male,25,UP,OBC,7.6,65.11,7.0,75.85,Traditional,Visual
77,ROLL0077,BCA,BCA,Cloud,Female,20,UP,General,8.8,82.47,6.95,82.12,Online,Auditory
78,ROLL0078,IT,B.Tech,Data Science,Female,26,Haryana,SC,1.9,96.1,8.02,59.99,Hybrid,Kinesthetic
79,ROLL0079,ECE,MCA,Cyber Security,Male,21,Delhi,General,3.9,95.82,7.56,60.34,Hybrid,Kinesthetic
80,ROLL0080,IT,MCA,Cloud,Male,20,Punjab,SC,6.2,85.27,7.79,65.53,Hybrid,Visual
81,ROLL0081,IT,B.Tech,Cyber Security,Female,26,Delhi,ST,6.4,82.15,6.85,78.27,Hybrid,Auditory
82,ROLL0082,MCA,BCA,Data Science,Male,24,Delhi,General,7.9,84.73,6.4,75.72,Online,Auditory
83,ROLL0083,IT,BCA,Data Science,Male,25,Punjab,General,4.8,68.9,7.59,56.49,Traditional,Auditory
84,ROLL0084,BCA,MCA,Software Engg,Male,24,UP,SC,4.4,74.83,9.25,63.6,Traditional,Kinesthetic
85,ROLL0085,MCA,MCA,Cyber Security,Male,20,Punjab,SC,9.9,90.14,7.51,69.51,Online,Kinesthetic
86,ROLL0086,ECE,BCA,AI,Female,21,Punjab,SC,2.0,79.71,6.05,63.85,Online,Auditory
87,ROLL0087,BCA,BCA,Cloud,Male,26,Punjab,OBC,2.1,64.7,8.6,58.9,Online,Auditory
88,ROLL0088,BCA,BCA,AI,Female,23,Bihar,General,4.4,71.43,9.47,70.86,Online,Visual
89,ROLL0089,CSE,MCA,Cyber Security,Male,23,UP,ST,4.9,92.08,9.91,55.22,Online,Kinesthetic
90,ROLL0090,ECE,MCA,AI,Female,20,UP,General,9.3,96.76,7.01,80.9,Traditional,Kinesthetic
91,ROLL0091,CSE,MCA,AI,Female,22,Delhi,General,9.7,80.92,8.52,76.94,Online,Auditory
92,ROLL0092,ECE,MCA,Cyber Security,Female,25,Bihar,General,7.3,75.37,8.95,81.2,Traditional,Visual
93,ROLL0093,CSE,BCA,AI,Female,25,Delhi,OBC,4.6,64.27,7.34,66.11,Traditional,Kinesthetic
94,ROLL0094,CSE,BCA,Cyber Security,Male,26,Punjab,ST,4.2,83.35,6.31,57.4,Traditional,Kinesthetic
95,ROLL0095,BCA,BCA,Software Engg,Male,20,Bihar,General,3.3,78.13,6.13,56.67,Online,Auditory
96,ROLL0096,ECE,B.Tech,AI,Female,26,Delhi,General,8.4,97.99,8.9,67.2,Traditional,Auditory
97,ROLL0097,BCA,BCA,Data Science,Female,18,Delhi,ST,4.8,97.31,9.46,70.3,Online,Auditory
98,ROLL0098,IT,BCA,Data Science,Female,18,Punjab,SC,4.4,89.98,7.57,60.85,Online,Kinesthetic
99,ROLL0099,MCA,BCA,Cyber Security,Female,23,UP,General,8.5,78.75,7.66,74.96,Traditional,Visual
100,ROLL0100,IT,MCA,Data Science,Female,20,UP,SC,7.2,81.37,9.0,71.32,Hybrid,Kinesthetic
101,ROLL0101,MCA,BCA,AI,Female,26,Bihar,OBC,6.0,90.76,9.78,65.75,Hybrid,Auditory
102,ROLL0102,MCA,BCA,Cyber Security,Female,18,Haryana,General,2.2,98.16,8.42,59.71,Hybrid,Kinesthetic
103,ROLL0103,ECE,BCA,Data Science,Male,19,Haryana,ST,7.0,84.73,7.43,72.66,Traditional,Kinesthetic
104,ROLL0104,IT,B.Tech,Software Engg,Female,18,UP,SC,5.3,93.25,7.23,62.16,Traditional,Visual
105,ROLL0105,IT,MCA,Cyber Security,Female,24,Haryana,SC,6.0,82.44,9.51,62.9,Online,Auditory
106,ROLL0106,IT,B.Tech,Cloud,Female,20,Haryana,SC,7.8,84.81,8.82,72.05,Hybrid,Auditory
107,ROLL0107,IT,MCA,Cyber Security,Male,20,Punjab,ST,9.1,84.69,9.92,85.35,Online,Visual
108,ROLL0108,IT,B.Tech,AI,Female,25,Haryana,OBC,9.1,73.93,8.06,83.67,Traditional,Kinesthetic
109,ROLL0109,ECE,BCA,Software Engg,Female,25,Haryana,OBC,9.2,71.92,8.09,82.44,Traditional,Visual
110,ROLL0110,MCA,B.Tech,AI,Male,22,Delhi,SC,8.6,90.76,6.26,79.03,Hybrid,Kinesthetic
111,ROLL0111,IT,BCA,Software Engg,Male,20,Punjab,ST,9.8,79.7,7.32,72.88,Online,Visual
112,ROLL0112,ECE,MCA,Software Engg,Male,23,Delhi,ST,5.8,78.4,8.34,70.75,Online,Auditory
113,ROLL0113,MCA,B.Tech,Data Science,Male,19,Bihar,ST,7.3,67.2,8.79,76.89,Traditional,Kinesthetic
114,ROLL0114,IT,B.Tech,Data Science,Female,19,Delhi,OBC,6.4,68.95,9.29,68.02,Online,Auditory
115,ROLL0115,MCA,B.Tech,Cyber Security,Male,19,Haryana,ST,3.5,67.08,6.35,59.96,Online,Auditory
116,ROLL0116,CSE,BCA,Data Science,Male,26,Delhi,OBC,2.2,73.2,7.29,51.42,Traditional,Auditory
117,ROLL0117,IT,MCA,Cyber Security,Male,18,Delhi,OBC,5.3,87.51,8.05,64.0,Traditional,Auditory
118,ROLL0118,ECE,B.Tech,AI,Female,21,Bihar,ST,3.5,92.25,8.99,55.2,Traditional,Visual
119,ROLL0119,BCA,MCA,Software Engg,Female,25,UP,SC,2.9,74.82,7.94,51.12,Online,Auditory
120,ROLL0120,IT,MCA,Software Engg,Female,20,Bihar,OBC,7.5,62.49,6.59,79.33,Online,Kinesthetic
121,ROLL0121,MCA,B.Tech,AI,Female,23,Bihar,OBC,7.4,95.81,8.05,67.34,Traditional,Visual
122,ROLL0122,IT,BCA,Cloud,Male,22,Bihar,OBC,5.8,69.7,7.08,67.8,Online,Auditory
123,ROLL0123,MCA,MCA,Data Science,Female,26,Punjab,OBC,2.6,82.56,9.36,58.18,Hybrid,Visual
124,ROLL0124,ECE,BCA,Data Science,Male,20,Delhi,OBC,9.0,83.74,8.72,72.62,Hybrid,Visual
125,ROLL0125,IT,B.Tech,Software Engg,Male,25,UP,ST,6.8,79.18,8.34,72.41,Traditional,Kinesthetic
126,ROLL0126,BCA,B.Tech,Data Science,Male,23,UP,General,4.9,65.1,7.14,72.93,Hybrid,Auditory
127,ROLL0127,ECE,BCA,Software Engg,Male,26,Punjab,ST,9.1,84.3,6.98,66.9,Traditional,Auditory
128,ROLL0128,IT,B.Tech,Data Science,Female,24,Delhi,ST,3.1,64.07,6.61,59.19,Traditional,Kinesthetic
129,ROLL0129,CSE,BCA,Software Engg,Female,23,Haryana,SC,5.4,94.03,6.35,70.19,Hybrid,Visual
130,ROLL0130,ECE,BCA,AI,Female,26,Haryana,ST,9.8,79.63,8.89,80.13,Hybrid,Kinesthetic
131,ROLL0131,BCA,BCA,Software Engg,Female,23,Haryana,General,7.5,81.4,7.91,70.35,Hybrid,Auditory
132,ROLL0132,ECE,BCA,Data Science,Male,18,Haryana,OBC,7.4,67.98,8.94,74.67,Traditional,Kinesthetic
133,ROLL0133,CSE,MCA,Data Science,Male,20,Punjab,OBC,6.5,71.55,8.32,69.17,Online,Kinesthetic
134,ROLL0134,IT,BCA,Cloud,Female,24,UP,SC,1.5,73.46,6.54,48.44,Traditional,Kinesthetic
135,ROLL0135,CSE,B.Tech,Data Science,Male,20,UP,OBC,5.9,68.07,8.74,79.65,Hybrid,Visual
136,ROLL0136,CSE,MCA,Software Engg,Male,19,Haryana,General,4.1,97.18,9.32,59.28,Hybrid,Visual
137,ROLL0137,CSE,MCA,Cloud,Male,25,UP,ST,2.1,89.23,9.75,58.74,Hybrid,Auditory
138,ROLL0138,MCA,B.Tech,Data Science,Male,20,Bihar,OBC,8.5,90.02,9.2,83.4,Hybrid,Visual
139,ROLL0139,CSE,MCA,AI,Female,26,UP,General,2.5,92.58,8.66,46.46,Online,Kinesthetic
140,ROLL0140,BCA,MCA,Data Science,Female,20,Punjab,General,7.1,78.08,8.86,73.1,Online,Kinesthetic
141,ROLL0141,MCA,BCA,Cloud,Female,24,Punjab,OBC,6.6,81.59,7.75,60.5,Traditional,Visual
142,ROLL0142,CSE,B.Tech,Software Engg,Female,24,Delhi,General,5.8,62.66,6.92,72.38,Traditional,Auditory
143,ROLL0143,MCA,B.Tech,Data Science,Male,18,Punjab,OBC,2.1,97.59,8.51,51.93,Online,Visual
144,ROLL0144,IT,BCA,Software Engg,Female,23,Delhi,SC,5.8,95.76,9.15,65.4,Traditional,Kinesthetic
145,ROLL0145,MCA,B.Tech,Software Engg,Male,19,Delhi,General,7.8,88.28,9.11,71.64,Traditional,Auditory
146,ROLL0146,ECE,BCA,Data Science,Male,23,Bihar,SC,7.9,95.07,7.37,71.57,Hybrid,Kinesthetic
147,ROLL0147,BCA,MCA,Data Science,Male,25,Bihar,SC,5.8,75.15,7.83,67.68,Hybrid,Kinesthetic
148,ROLL0148,BCA,MCA,AI,Female,19,UP,SC,2.3,69.17,8.89,69.43,Online,Visual
149,ROLL0149,ECE,MCA,Cloud,Female,21,Haryana,General,1.1,83.94,8.26,56.89,Hybrid,Visual
150,ROLL0150,CSE,MCA,Data Science,Female,25,UP,General,2.6,96.34,8.33,65.64,Online,Auditory
151,ROLL0151,CSE,MCA,Data Science,Male,25,Bihar,ST,4.8,71.52,8.46,63.06,Traditional,Visual
152,ROLL0152,ECE,B.Tech,Cyber Security,Female,21,Haryana,General,8.8,97.28,8.26,74.2,Hybrid,Visual
153,ROLL0153,ECE,B.Tech,Cyber Security,Female,26,Delhi,SC,8.1,60.92,8.61,71.29,Online,Visual
154,ROLL0154,IT,BCA,Cloud,Female,23,Delhi,ST,4.8,89.46,9.74,70.91,Online,Visual
155,ROLL0155,CSE,B.Tech,Cyber Security,Male,24,Punjab,SC,9.2,64.91,6.94,75.59,Traditional,Auditory
156,ROLL0156,ECE,BCA,Software Engg,Female,25,Punjab,ST,9.3,94.8,8.08,75.75,Online,Visual
157,ROLL0157,BCA,MCA,Software Engg,Female,26,Punjab,OBC,6.5,75.17,8.98,72.58,Traditional,Kinesthetic
158,ROLL0158,ECE,BCA,AI,Male,23,UP,OBC,2.0,76.58,9.45,52.85,Online,Kinesthetic
159,ROLL0159,MCA,MCA,Cyber Security,Female,20,Punjab,General,4.1,73.88,8.95,54.79,Online,Auditory
160,ROLL0160,MCA,B.Tech,Cloud,Female,22,Bihar,General,3.2,83.11,6.66,58.3,Hybrid,Visual
161,ROLL0161,IT,BCA,Cyber Security,Female,21,UP,SC,9.2,74.5,8.32,72.51,Traditional,Visual
162,ROLL0162,IT,MCA,AI,Female,25,Haryana,ST,5.1,82.29,9.44,67.88,Online,Visual
163,ROLL0163,CSE,MCA,Cyber Security,Female,20,Delhi,SC,5.5,83.82,6.27,62.59,Traditional,Kinesthetic
164,ROLL0164,IT,MCA,Cloud,Female,25,UP,ST,4.1,78.73,8.5,65.67,Traditional,Kinesthetic
165,ROLL0165,IT,MCA,Cloud,Female,18,Delhi,General,6.3,71.76,8.86,81.05,Hybrid,Auditory
166,ROLL0166,IT,MCA,Software Engg,Female,18,Haryana,SC,4.6,82.39,6.62,73.55,Hybrid,Auditory
167,ROLL0167,ECE,MCA,Cloud,Female,19,Punjab,SC,4.0,63.02,9.01,64.57,Online,Auditory
168,ROLL0168,IT,BCA,AI,Female,19,Delhi,ST,4.7,61.02,6.62,62.63,Hybrid,Kinesthetic
169,ROLL0169,IT,BCA,Cloud,Female,25,Bihar,ST,8.8,76.32,8.21,72.55,Online,Kinesthetic
170,ROLL0170,CSE,BCA,Data Science,Female,18,Bihar,OBC,1.9,92.0,6.71,52.58,Hybrid,Auditory
171,ROLL0171,CSE,BCA,Data Science,Female,21,Punjab,OBC,6.0,88.83,9.22,68.07,Hybrid,Kinesthetic
172,ROLL0172,CSE,B.Tech,Data Science,Male,24,Delhi,OBC,9.5,65.64,7.63,78.81,Online,Kinesthetic
173,ROLL0173,BCA,MCA,Software Engg,Male,19,Bihar,SC,9.1,60.52,6.34,78.93,Hybrid,Visual
174,ROLL0174,BCA,BCA,AI,Female,19,Punjab,General,9.0,92.7,7.37,70.74,Online,Kinesthetic
175,ROLL0175,MCA,BCA,Cyber Security,Male,26,Delhi,SC,4.3,61.37,9.32,68.83,Online,Auditory
176,ROLL0176,CSE,MCA,Software Engg,Female,23,UP,SC,4.9,71.78,9.79,61.35,Online,Visual
177,ROLL0177,IT,B.Tech,Cloud,Female,18,Haryana,General,8.0,64.57,8.26,73.9,Online,Visual
178,ROLL0178,IT,MCA,Data Science,Female,19,UP,OBC,5.4,80.5,8.97,67.87,Online,Visual
179,ROLL0179,BCA,MCA,Cyber Security,Female,24,Haryana,OBC,6.7,70.32,6.56,63.66,Hybrid,Auditory
180,ROLL0180,IT,MCA,Cloud,Male,21,Delhi,SC,7.1,92.9,8.12,71.8,Online,Auditory
181,ROLL0181,ECE,MCA,Cyber Security,Female,22,Punjab,SC,5.5,62.69,7.62,75.55,Traditional,Kinesthetic
182,ROLL0182,ECE,B.Tech,Software Engg,Female,23,Bihar,ST,1.1,65.48,9.6,53.2,Online,Auditory
183,ROLL0183,IT,BCA,Cloud,Female,18,Delhi,General,7.6,70.03,8.53,86.6,Hybrid,Kinesthetic
184,ROLL0184,CSE,BCA,AI,Female,19,Haryana,ST,4.8,75.33,8.08,63.32,Online,Kinesthetic
185,ROLL0185,ECE,BCA,AI,Female,22,Delhi,ST,2.5,89.52,6.33,50.33,Hybrid,Auditory
186,ROLL0186,IT,BCA,AI,Male,24,Bihar,OBC,8.5,77.49,9.66,78.41,Hybrid,Auditory
187,ROLL0187,BCA,B.Tech,Data Science,Female,21,Delhi,ST,6.5,97.97,7.59,60.73,Traditional,Auditory
188,ROLL0188,IT,B.Tech,Software Engg,Female,19,Bihar,General,2.5,93.66,9.39,56.88,Hybrid,Kinesthetic
189,ROLL0189,CSE,BCA,Data Science,Female,25,Punjab,OBC,6.6,78.97,7.38,64.57,Traditional,Auditory
190,ROLL0190,MCA,MCA,AI,Male,22,Haryana,OBC,4.9,69.86,9.28,55.8,Traditional,Kinesthetic
191,ROLL0191,MCA,BCA,AI,Female,18,Haryana,OBC,1.0,98.71,6.02,51.46,Traditional,Kinesthetic
192,ROLL0192,MCA,B.Tech,AI,Female,25,Bihar,ST,2.2,98.01,7.78,53.31,Online,Auditory
193,ROLL0193,CSE,MCA,Software Engg,Male,25,UP,General,7.8,85.56,9.04,77.59,Online,Kinesthetic
194,ROLL0194,IT,BCA,Data Science,Male,26,Delhi,General,3.2,79.58,6.88,66.44,Online,Auditory
195,ROLL0195,CSE,BCA,Cyber Security,Female,22,Delhi,ST,9.5,61.58,8.82,82.59,Traditional,Kinesthetic
196,ROLL0196,IT,MCA,Cloud,Female,24,UP,General,7.6,67.7,6.46,73.47,Hybrid,Kinesthetic
197,ROLL0197,CSE,BCA,Cyber Security,Female,24,Haryana,General,8.2,89.8,6.22,81.38,Hybrid,Kinesthetic
198,ROLL0198,MCA,MCA,AI,Female,19,Haryana,SC,1.3,83.85,6.92,40.34,Traditional,Auditory
199,ROLL0199,ECE,MCA,Data Science,Male,25,Bihar,General,9.0,81.21,7.76,84.22,Hybrid,Auditory
200,ROLL0200,ECE,MCA,Cyber Security,Male,19,Delhi,ST,5.9,91.63,7.28,58.18,Online,Auditory
201,ROLL0201,IT,BCA,Software Engg,Female,19,Haryana,ST,5.7,77.07,9.51,61.63,Online,Auditory
202,ROLL0202,IT,BCA,Cloud,Male,20,Bihar,OBC,1.2,94.99,8.12,41.74,Traditional,Auditory
203,ROLL0203,CSE,B.Tech,AI,Female,26,UP,ST,1.6,60.38,6.21,67.79,Online,Visual
204,ROLL0204,ECE,MCA,Cloud,Female,22,Punjab,SC,7.9,76.71,7.69,70.45,Traditional,Kinesthetic
205,ROLL0205,IT,B.Tech,Cyber Security,Male,19,Punjab,OBC,7.6,60.13,7.87,76.73,Hybrid,Auditory
206,ROLL0206,IT,B.Tech,Cloud,Male,26,Punjab,SC,3.1,61.68,6.07,57.04,Online,Auditory
207,ROLL0207,BCA,MCA,Cloud,Female,24,Delhi,General,2.0,75.67,6.5,58.82,Hybrid,Visual
208,ROLL0208,BCA,MCA,Data Science,Male,19,Delhi,SC,8.9,97.79,7.87,69.04,Hybrid,Visual
209,ROLL0209,IT,B.Tech,AI,Female,22,Delhi,OBC,2.5,99.65,6.93,58.33,Online,Auditory
210,ROLL0210,IT,BCA,Data Science,Female,26,Delhi,SC,8.5,64.81,6.19,77.96,Online,Auditory
211,ROLL0211,CSE,MCA,Data Science,Female,24,UP,OBC,3.0,67.46,9.12,56.52,Online,Kinesthetic
212,ROLL0212,IT,MCA,Cloud,Female,20,UP,OBC,9.0,97.11,9.98,76.16,Hybrid,Kinesthetic
213,ROLL0213,CSE,MCA,Cloud,Female,25,Punjab,ST,7.8,87.84,6.62,70.64,Hybrid,Visual
214,ROLL0214,ECE,BCA,Cyber Security,Male,22,Punjab,ST,7.7,61.39,9.58,76.26,Online,Visual
215,ROLL0215,MCA,B.Tech,AI,Male,22,UP,ST,1.8,95.1,7.06,58.12,Hybrid,Auditory
216,ROLL0216,ECE,B.Tech,Cyber Security,Male,23,Bihar,General,7.6,71.26,7.01,78.22,Hybrid,Auditory
217,ROLL0217,IT,B.Tech,Cyber Security,Male,18,UP,SC,3.3,88.94,7.98,57.31,Online,Visual
218,ROLL0218,MCA,B.Tech,Software Engg,Male,20,Punjab,SC,1.6,95.32,8.06,55.92,Traditional,Kinesthetic
219,ROLL0219,BCA,MCA,Data Science,Female,23,Bihar,OBC,8.4,73.91,8.71,67.0,Online,Visual
220,ROLL0220,ECE,MCA,AI,Female,26,Haryana,SC,5.7,94.73,6.98,69.41,Hybrid,Kinesthetic
221,ROLL0221,BCA,BCA,AI,Female,24,Punjab,SC,4.0,69.55,9.72,63.59,Traditional,Auditory
222,ROLL0222,IT,B.Tech,Cloud,Male,24,Haryana,General,8.9,98.45,7.86,73.55,Online,Visual
223,ROLL0223,ECE,MCA,Cyber Security,Male,24,Haryana,OBC,1.0,92.8,6.91,60.84,Hybrid,Kinesthetic
224,ROLL0224,ECE,MCA,Cloud,Male,26,Haryana,SC,2.7,63.36,7.31,59.82,Hybrid,Visual
225,ROLL0225,BCA,MCA,Software Engg,Male,23,Delhi,General,6.7,70.39,8.54,77.58,Online,Auditory
226,ROLL0226,ECE,BCA,Cyber Security,Male,19,UP,SC,3.6,60.74,7.73,61.87,Online,Auditory
