Port,Service,Status,Response_Time_ms
49081,Unknown,Closed,176.2
44021,Unknown,Closed,152.4
2694,Unknown,Open,106.58
29468,Unknown,Closed,158.43
29724,Unknown,Open,122.04
46700,Unknown,Open,145.58
3628,Unknown,Closed,134.54
25940,Unknown,Closed,94.61
48926,Unknown,Closed,100.69
42942,Unknown,Closed,150.9
21835,Unknown,Closed,109.96
18048,Unknown,Closed,107.89
26106,Unknown,Open,91.35
10231,Unknown,Closed,132.71
15708,Unknown,Open,181.88
21977,Unknown,Closed,87.97
44263,Unknown,Open,120.73
59582,Unknown,Closed,162.37
23777,Unknown,Open,117.61
30081,Unknown,Closed,133.57
62841,Unknown,Closed,88.13
1307,Unknown,Closed,132.85
61374,Unknown,Open,114.39
6777,Unknown,Closed,149.57
27252,Unknown,Open,155.62
62413,Unknown,Closed,197.69
55017,Unknown,Open,137.39
9475,Unknown,Open,129.77
40295,Unknown,Open,125.83
58054,Unknown,Closed,109.41
21960,Unknown,Closed,130.15
5531,Unknown,Open,111.14
29321,Unknown,Closed,125.05
53566,Unknown,Closed,159.53
3749,Unknown,Closed,89.8
31969,Unknown,Closed,154.2
32563,Unknown,Closed,159.51
13546,Unknown,Closed,116.46
62124,Unknown,Open,56.34
664,Unknown,Open,101.77
34767,Unknown,Closed,158.91
7995,Unknown,Closed,119.31
28022,Unknown,Closed,90.02
61088,Unknown,Open,104.86
30304,Unknown,Closed,145.22
50648,Unknown,Closed,136.4
3305,Unknown,Open,112.83
52916,Unknown,Open,109.0
54385,Unknown,Closed,108.25
51006,Unknown,Closed,92.33
46577,Unknown,Open,168.46
39354,Unknown,Open,110.33
62004,Unknown,Open,156.51
17676,Unknown,Closed,165.64
52734,Unknown,Open,149.95
65319,Unknown,Open,107.05
44418,Unknown,Closed,132.11
23939,Unknown,Open,119.27
23665,Unknown,Closed,92.89
1637,Unknown,Open,129.73
20081,Unknown,Open,84.63
60344,Unknown,Open,155.63
27729,Unknown,Closed,106.06
49851,Unknown,Closed,126.03
26737,Unknown,Closed,128.5
28674,Unknown,Closed,112.23
37506,Unknown,Closed,137.6
47324,Unknown,Open,105.75
46646,Unknown,Open,146.14
855,Unknown,Closed,79.62
24549,Unknown,Open,123.79
38624,Unknown,Open,178.17
7393,Unknown,Open,89.99
55681,Unknown,Open,99.67
60819,Unknown,Open,135.42
46718,Unknown,Closed,125.39
54402,Unknown,Closed,130.52
21557,Unknown,Closed,134.68
50860,Unknown,Closed,139.04
60122,Unknown,Closed,153.29
38560,Unknown,Open,132.29
26310,Unknown,Closed,112.76
21920,Unknown,Closed,140.18
63735,Unknown,Open,177.0
4932,Unknown,Closed,116.02
52663,Unknown,Closed,90.76
32971,Unknown,Closed,153.21
44216,Unknown,Closed,116.39
53371,Unknown,Open,54.82
12689,Unknown,Closed,145.42
25343,Unknown,Closed,103.94
37158,Unknown,Open,117.28
2328,Unknown,Closed,129.96
40773,Unknown,Closed,125.71
52084,Unknown,Closed,141.28
40546,Unknown,Closed,106.94
198,Unknown,Closed,135.39
23510,Unknown,Open,112.21
34699,Unknown,Open,142.16
44543,Unknown,Closed,138.46
15088,Unknown,Closed,91.94
22672,Unknown,Open,152.58
25185,Unknown,Open,103.92
27849,Unknown,Closed,144.24
42108,Unknown,Closed,131.02
20667,Unknown,Closed,175.15
44358,Unknown,Open,113.3
51664,Unknown,Open,109.52
15709,Unknown,Open,119.42
26371,Unknown,Closed,110.9
49812,Unknown,Open,144.0
2812,Unknown,Closed,71.51
56251,Unknown,Open,88.39
47012,Unknown,Closed,87.97
6547,Unknown,Closed,148.51
58714,Unknown,Closed,171.32
34755,Unknown,Open,116.87
30207,Unknown,Open,114.94
41107,Unknown,Open,122.1
11412,Unknown,Closed,154.86
2912,Unknown,Closed,92.18
1735,Unknown,Closed,127.15
18228,Unknown,Closed,149.26
8681,Unknown,Closed,135.03
19361,Unknown,Open,125.69
18344,Unknown,Closed,150.03
5760,Unknown,Closed,38.9
23079,Unknown,Closed,140.34
35154,Unknown,Closed,100.38
11112,Unknown,Open,65.08
37505,Unknown,Open,135.34
1803,Unknown,Closed,161.21
8156,Unknown,Open,115.88
8121,Unknown,Closed,148.59
39385,Unknown,Open,168.37
47026,Unknown,Closed,159.45
47255,Unknown,Open,169.2
21919,Unknown,Closed,142.26
20446,Unknown,Closed,122.26
60714,Unknown,Open,71.94
30307,Unknown,Closed,112.62
16647,Unknown,Closed,94.7
46844,Unknown,Closed,185.13
55440,Unknown,Closed,114.72
31066,Unknown,Closed,123.7
25200,Unknown,Open,136.54
41977,Unknown,Open,121.31
16372,Unknown,Open,170.85
11836,Unknown,Closed,101.32
45937,Unknown,Open,125.84
2050,Unknown,Closed,97.73
31617,Unknown,Closed,80.4
38192,Unknown,Closed,101.65
47358,Unknown,Closed,118.89
61068,Unknown,Open,107.12
20933,Unknown,Open,99.23
52261,Unknown,Closed,77.81
29856,Unknown,Closed,117.51
61435,Unknown,Closed,74.86
7159,Unknown,Closed,142.8
43017,Unknown,Open,122.47
7401,Unknown,Closed,76.27
52323,Unknown,Closed,110.72
42643,Unknown,Closed,97.44
15152,Unknown,Open,129.58
51408,Unknown,Closed,160.21
1155,Unknown,Closed,63.74
4500,Unknown,Open,123.45
6296,Unknown,Closed,115.2
55350,Unknown,Open,140.14
60536,Unknown,Closed,126.4
59041,Unknown,Closed,97.44
12184,Unknown,Open,110.43
29300,Unknown,Closed,96.12
12875,Unknown,Closed,152.28
50801,Unknown,Closed,120.64
32712,Unknown,Closed,177.04
5540,Unknown,Closed,118.18
42406,Unknown,Closed,98.75
53352,Unknown,Closed,74.59
61268,Unknown,Open,65.91
57598,Unknown,Closed,72.48
48355,Unknown,Open,128.01
60528,Unknown,Closed,135.26
2558,Unknown,Closed,72.56
38361,Unknown,Open,146.85
16483,Unknown,Closed,105.51
2201,Unknown,Closed,124.4
46941,Unknown,Open,168.37
2962,Unknown,Closed,146.91
46976,Unknown,Closed,111.94
21358,Unknown,Open,93.26
53586,Unknown,Closed,55.45
11970,Unknown,Open,98.43
2870,Unknown,Closed,113.67
60579,Unknown,Closed,90.38
61136,Unknown,Closed,116.06
50109,Unknown,Closed,122.31
46761,Unknown,Closed,113.25
28644,Unknown,Closed,100.5
24737,Unknown,Closed,125.06
38468,Unknown,Closed,133.26
23329,Unknown,Open,87.29
53646,Unknown,Closed,162.33
25877,Unknown,Open,117.04
21296,Unknown,Open,120.57
3988,Unknown,Open,141.25
58872,Unknown,Closed,127.0
22400,Unknown,Closed,148.59
62856,Unknown,Closed,128.61
46215,Unknown,Open,101.63
33987,Unknown,Closed,130.85
20881,Unknown,Closed,85.69
4736,Unknown,Closed,123.26
44065,Unknown,Closed,119.0
60080,Unknown,Closed,113.76
4556,Unknown,Closed,116.14
41915,Unknown,Closed,63.54
40819,Unknown,Open,103.54
45526,Unknown,Open,122.79
19831,Unknown,Closed,124.8
17430,Unknown,Open,89.17
6894,Unknown,Closed,157.97
50846,Unknown,Closed,94.01
14374,Unknown,Closed,149.08
47334,Unknown,Closed,132.82
3437,Unknown,Closed,100.61
8755,Unknown,Closed,173.26
10678,Unknown,Closed,84.19
5896,Unknown,Closed,147.57
19739,Unknown,Closed,150.02
30747,Unknown,Closed,99.88
49378,Unknown,Closed,161.77
48405,Unknown,Closed,112.5
54046,Unknown,Closed,128.66
32353,Unknown,Closed,127.81
63772,Unknown,Closed,115.97
39791,Unknown,Closed,144.32
41920,Unknown,Open,143.8
5601,Unknown,Open,67.54
29125,Unknown,Closed,159.13
27644,Unknown,Open,70.13
40765,Unknown,Open,150.98
9008,Unknown,Open,153.8
45715,Unknown,Open,87.27
56836,Unknown,Open,107.68
37411,Unknown,Closed,86.83
62656,Unknown,Closed,113.55
44081,Unknown,Closed,110.76
40448,Unknown,Closed,143.39
8209,Unknown,Open,159.31
56492,Unknown,Closed,161.87
58588,Unknown,Closed,103.13
18590,Unknown,Open,113.72
43485,Unknown,Closed,69.5
17454,Unknown,Closed,95.82
36213,Unknown,Closed,148.95
43526,Unknown,Closed,168.47
47203,Unknown,Closed,82.97
32636,Unknown,Open,102.23
63209,Unknown,Closed,119.21
33829,Unknown,Open,128.4
18712,Unknown,Closed,95.71
3421,Unknown,Closed,132.72
31217,Unknown,Closed,105.78
302,Unknown,Closed,119.57
45237,Unknown,Open,136.39
49759,Unknown,Open,120.19
52323,Unknown,Open,106.91
700,Unknown,Open,116.71
54241,Unknown,Closed,117.35
58484,Unknown,Closed,108.9
191,Unknown,Open,112.24
10493,Unknown,Closed,167.96
50133,Unknown,Closed,136.83
35744,Unknown,Closed,111.14
6103,Unknown,Closed,140.91
50337,Unknown,Open,109.99
52480,Unknown,Closed,155.19
19779,Unknown,Closed,131.09
57472,Unknown,Closed,116.78
26642,Unknown,Open,133.43
34585,Unknown,Closed,72.87
32746,Unknown,Open,86.2
55007,Unknown,Open,84.18
23094,Unknown,Closed,124.29
570,Unknown,Closed,171.98
38211,Unknown,Closed,186.94
34664,Unknown,Open,139.14
51886,Unknown,Closed,135.03
36632,Unknown,Open,65.97
45682,Unknown,Open,103.72
7456,Unknown,Closed,96.37
4015,Unknown,Closed,101.37
11094,Unknown,Closed,114.96
18071,Unknown,Closed,105.84
35778,Unknown,Closed,60.62
56959,Unknown,Closed,142.44
16539,Unknown,Open,87.82
10730,Unknown,Closed,127.18
34178,Unknown,Closed,182.22
45018,Unknown,Open,92.42
785,Unknown,Closed,44.09
27752,Unknown,Closed,111.42
40865,Unknown,Open,153.03
40329,Unknown,Open,178.75
65323,Unknown,Closed,83.11
12534,Unknown,Open,134.9
40112,Unknown,Closed,106.04
39975,Unknown,Closed,116.82
54749,Unknown,Closed,199.33
5802,Unknown,Closed,74.91
19191,Unknown,Closed,127.61
49690,Unknown,Closed,134.03
38755,Unknown,Closed,152.57
50994,Unknown,Closed,122.94
29593,Unknown,Open,129.24
10648,Unknown,Closed,108.25
8717,Unknown,Closed,128.07
23356,Unknown,Closed,109.7
22010,Unknown,Closed,138.65
52103,Unknown,Closed,108.91
24377,Unknown,Closed,131.31
45092,Unknown,Closed,119.12
4781,Unknown,Closed,153.78
61460,Unknown,Closed,118.46
2369,Unknown,Closed,66.81
12040,Unknown,Closed,157.86
6656,Unknown,Open,92.83
40942,Unknown,Closed,100.39
4496,Unknown,Closed,102.13
10894,Unknown,Open,161.23
25548,Unknown,Closed,55.93
22387,Unknown,Open,214.13
55767,Unknown,Closed,151.68
58511,Unknown,Closed,126.7
13404,Unknown,Open,118.35
32098,Unknown,Closed,128.57
13122,Unknown,Closed,135.63
55072,Unknown,Closed,139.36
10967,Unknown,Open,136.67
59327,Unknown,Open,122.69
33622,Unknown,Closed,114.08
53299,Unknown,Closed,115.46
28313,Unknown,Closed,114.15
52922,Unknown,Open,154.01
49727,Unknown,Closed,137.81
60606,Unknown,Closed,31.79
50301,Unknown,Closed,139.68
22678,Unknown,Open,125.84
55610,Unknown,Closed,119.44
31290,Unknown,Closed,108.34
56662,Unknown,Closed,153.72
31025,Unknown,Closed,148.43
42676,Unknown,Closed,96.81
4778,Unknown,Closed,132.21
62278,Unknown,Open,90.85
53007,Unknown,Closed,78.61
29750,Unknown,Closed,101.2
15339,Unknown,Open,145.87
2492,Unknown,Closed,148.59
27237,Unknown,Closed,135.39
48097,Unknown,Open,141.75
14600,Unknown,Closed,135.49
19509,Unknown,Closed,100.76
54844,Unknown,Closed,132.96
3052,Unknown,Open,144.01
48748,Unknown,Closed,142.63
49157,Unknown,Closed,155.67
21607,Unknown,Closed,141.25
21700,Unknown,Closed,130.54
54022,Unknown,Open,152.1
877,Unknown,Closed,119.2
58336,Unknown,Open,93.54
56180,Unknown,Open,115.11
32094,Unknown,Closed,97.65
4143,Unknown,Closed,99.74
15203,Unknown,Closed,115.66
39735,Unknown,Closed,96.23
7080,Unknown,Closed,110.76
7988,Unknown,Open,63.19
39568,Unknown,Closed,126.4
28941,Unknown,Closed,120.04
37234,Unknown,Closed,95.49
17020,Unknown,Open,139.78
46186,Unknown,Closed,148.13
18078,Unknown,Closed,71.77
26259,Unknown,Open,97.12
21137,Unknown,Open,96.93
8312,Unknown,Closed,91.8
17215,Unknown,Closed,144.88
14099,Unknown,Open,114.19
28252,Unknown,Closed,112.06
37946,Unknown,Open,59.88
47031,Unknown,Closed,139.06
25946,Unknown,Closed,82.82
25317,Unknown,Closed,121.8
32218,Unknown,Closed,128.32
8309,Unknown,Closed,160.82
5950,Unknown,Open,80.74
51991,Unknown,Closed,29.41
1151,Unknown,Closed,125.52
23945,Unknown,Closed,174.02
34700,Unknown,Open,157.17
9205,Unknown,Open,126.29
50817,Unknown,Open,105.25
1082,Unknown,Closed,144.21
29306,Unknown,Closed,90.79
16897,Unknown,Closed,134.29
65263,Unknown,Closed,135.16
60194,Unknown,Closed,151.81
46176,Unknown,Open,202.79
7806,Unknown,Closed,131.77
5238,Unknown,Closed,104.73
49712,Unknown,Closed,119.23
20057,Unknown,Closed,66.93
45544,Unknown,Closed,99.16
56557,Unknown,Closed,107.72
49013,Unknown,Open,104.28
45953,Unknown,Open,124.57
3344,Unknown,Closed,95.33
13501,Unknown,Closed,153.63
53223,Unknown,Closed,120.01
29376,Unknown,Closed,119.72
9663,Unknown,Open,110.16
16965,Unknown,Open,124.66
47894,Unknown,Closed,144.75
56157,Unknown,Closed,93.99
59639,Unknown,Open,100.26
8131,Unknown,Closed,110.89
19532,Unknown,Open,79.62
53402,Unknown,Closed,95.42
1680,Unknown,Open,105.71
3507,Unknown,Closed,146.23
13285,Unknown,Closed,127.88
7254,Unknown,Closed,125.81
19129,Unknown,Open,145.53
27933,Unknown,Open,115.88
61390,Unknown,Closed,131.71
9436,Unknown,Closed,116.9
54341,Unknown,Closed,127.96
44079,Unknown,Open,102.52
13297,Unknown,Closed,46.84
51294,Unknown,Closed,115.97
30446,Unknown,Closed,162.68
13246,Unknown,Open,147.79
60404,Unknown,Closed,148.96
29125,Unknown,Open,157.08
29900,Unknown,Open,122.66
43920,Unknown,Closed,125.92
43226,Unknown,Open,101.47
55770,Unknown,Closed,110.52
35248,Unknown,Closed,138.47
55637,Unknown,Closed,156.12
29223,Unknown,Closed,115.82
26212,Unknown,Open,106.49
62753,Unknown,Closed,120.02
56574,Unknown,Closed,138.04
59102,Unknown,Open,76.68
37221,Unknown,Closed,51.11
26647,Unknown,Open,103.48
38650,Unknown,Open,83.38
23050,Unknown,Closed,104.76
14070,Unknown,Open,115.57
32581,Unknown,Closed,106.4
31844,Unknown,Closed,163.57
2850,Unknown,Closed,129.8
60596,Unknown,Open,129.01
40159,Unknown,Open,138.67
65418,Unknown,Open,85.84
23290,Unknown,Closed,151.17
44691,Unknown,Closed,117.73
35258,Unknown,Open,140.11
9824,Unknown,Closed,87.84
60161,Unknown,Open,73.39
41976,Unknown,Closed,144.54
9541,Unknown,Closed,131.29
16365,Unknown,Closed,92.94
4612,Unknown,Closed,93.91
27664,Unknown,Closed,153.76
51992,Unknown,Closed,84.32
57680,Unknown,Closed,169.28
38647,Unknown,Open,92.98
30978,Unknown,Closed,139.15
29169,Unknown,Closed,110.14
49116,Unknown,Closed,138.1
25472,Unknown,Closed,103.68
22688,Unknown,Closed,115.12
60891,Unknown,Closed,121.23
852,Unknown,Closed,89.93
18072,Unknown,Open,142.22
59276,Unknown,Open,104.6
6834,Unknown,Open,113.14
11939,Unknown,Open,90.17
35196,Unknown,Closed,43.13
26145,Unknown,Open,114.27
4001,Unknown,Closed,192.38
5053,Unknown,Closed,143.54
35507,Unknown,Open,119.42
28075,Unknown,Closed,112.11
54885,Unknown,Closed,120.67
38156,Unknown,Closed,136.41
40771,Unknown,Closed,84.58
32321,Unknown,Closed,153.43
38305,Unknown,Open,141.46
46248,Unknown,Closed,141.55
3914,Unknown,Closed,133.15
17451,Unknown,Closed,120.59
24108,Unknown,Open,140.19
20765,Unknown,Closed,137.75
43405,Unknown,Open,109.38
20492,Unknown,Open,102.79
38495,Unknown,Open,123.06
3374,Unknown,Closed,166.47
12162,Unknown,Closed,82.83
31997,Unknown,Closed,75.97
27123,Unknown,Closed,124.94
58098,Unknown,Closed,121.53
34851,Unknown,Closed,125.2
27351,Unknown,Closed,127.32
27473,Unknown,Closed,113.3
28762,Unknown,Open,164.7
25352,Unknown,Closed,71.97
23133,Unknown,Closed,95.15
49050,Unknown,Closed,116.9
15306,Unknown,Closed,70.7
9818,Unknown,Closed,114.72
11262,Unknown,Closed,169.84
418,Unknown,Closed,120.63
57459,Unknown,Closed,126.92
41577,Unknown,Open,82.2
20359,Unknown,Closed,101.51
3268,Unknown,Closed,108.74
17210,Unknown,Open,110.47
24053,Unknown,Closed,158.45
38514,Unknown,Closed,136.73
26093,Unknown,Closed,86.66
11339,Unknown,Open,127.4
413,Unknown,Closed,134.95
7544,Unknown,Closed,154.2
40356,Unknown,Open,167.42
33497,Unknown,Open,89.55
60693,Unknown,Closed,95.67
23549,Unknown,Open,82.27
27385,Unknown,Closed,112.98
58020,Unknown,Closed,133.99
44426,Unknown,Open,149.62
38757,Unknown,Closed,117.72
18889,Unknown,Closed,110.4
35736,Unknown,Closed,124.55
47296,Unknown,Closed,94.95
51939,Unknown,Closed,182.69
48817,Unknown,Open,71.77
17507,Unknown,Closed,125.54
20464,Unknown,Closed,180.71
17956,Unknown,Open,120.2
37842,Unknown,Closed,114.3
5105,Unknown,Closed,109.28
65511,Unknown,Closed,114.59
34912,Unknown,Open,161.19
59032,Unknown,Closed,53.64
23191,Unknown,Closed,166.0
7358,Unknown,Open,77.28
32480,Unknown,Open,112.0
61477,Unknown,Open,107.12
44812,Unknown,Closed,137.66
36209,Unknown,Closed,72.06
20151,Unknown,Closed,133.87
5645,Unknown,Closed,180.73
43287,Unknown,Open,79.1
47321,Unknown,Closed,125.69
2915,Unknown,Closed,100.14
21353,Unknown,Open,132.78
55070,Unknown,Open,120.57
46353,Unknown,Open,100.76
44913,Unknown,Closed,134.64
14398,Unknown,Closed,174.13
41556,Unknown,Closed,114.27
46960,Unknown,Closed,141.59
729,Unknown,Closed,81.2
50518,Unknown,Closed,91.31
53645,Unknown,Closed,134.17
699,Unknown,Open,164.52
39955,Unknown,Open,130.67
47281,Unknown,Open,110.61
13924,Unknown,Open,119.98
16780,Unknown,Closed,82.49
63933,Unknown,Closed,138.14
7401,Unknown,Open,146.47
24467,Unknown,Open,106.44
36940,Unknown,Closed,105.9
4361,Unknown,Closed,127.98
35271,Unknown,Closed,106.9
59164,Unknown,Closed,118.02
17102,Unknown,Open,182.99
51935,Unknown,Open,112.59
64896,Unknown,Closed,109.25
32308,Unknown,Closed,100.57
54099,Unknown,Open,142.33
60922,Unknown,Closed,114.56
5487,Unknown,Closed,100.52
8336,Unknown,Closed,159.64
21365,Unknown,Closed,162.59
60485,Unknown,Closed,101.99
56419,Unknown,Closed,64.0
37260,Unknown,Closed,150.23
23577,Unknown,Open,99.46
31668,Unknown,Open,143.72
11131,Unknown,Closed,60.9
21973,Unknown,Closed,146.78
40420,Unknown,Open,83.66
52789,Unknown,Closed,141.92
60567,Unknown,Closed,120.43
1168,Unknown,Open,91.38
27193,Unknown,Closed,107.79
1063,Unknown,Closed,140.59
18541,Unknown,Closed,123.18
24245,Unknown,Open,137.53
21546,Unknown,Closed,179.29
21690,Unknown,Closed,73.07
11175,Unknown,Closed,168.52
22926,Unknown,Closed,123.13
60639,Unknown,Closed,93.04
37498,Unknown,Closed,80.09
9349,Unknown,Closed,114.33
23715,Unknown,Closed,147.65
38103,Unknown,Open,116.17
8925,Unknown,Closed,165.33
37099,Unknown,Closed,76.46
24395,Unknown,Closed,119.64
6802,Unknown,Open,82.43
37615,Unknown,Closed,130.91
6732,Unknown,Closed,146.61
48137,Unknown,Closed,107.38
23626,Unknown,Open,41.87
17338,Unknown,Closed,125.97
35308,Unknown,Closed,133.1
7057,Unknown,Open,132.13
11517,Unknown,Closed,157.07
44262,Unknown,Closed,87.87
1543,Unknown,Closed,140.41
21678,Unknown,Closed,155.78
46733,Unknown,Closed,66.64
50344,Unknown,Closed,129.59
39082,Unknown,Closed,104.87
62857,Unknown,Closed,117.55
27570,Unknown,Closed,130.43
23323,Unknown,Closed,105.38
19066,Unknown,Closed,99.73
58562,Unknown,Closed,121.02
17925,Unknown,Closed,87.38
22557,Unknown,Closed,87.43
60581,Unknown,Closed,140.38
54694,Unknown,Open,85.54
26963,Unknown,Closed,139.99
28296,Unknown,Open,133.88
13808,Unknown,Closed,68.23
42349,Unknown,Closed,99.67
26433,Unknown,Closed,155.82
17750,Unknown,Closed,90.57
41460,Unknown,Closed,106.07
26257,Unknown,Closed,133.86
57855,Unknown,Open,143.5
